"ID","LABEL","ADDRESS","PHONE","SCHOOLNO","WWW","EMAIL","FAX","SCHOOL_TYPE","BUILDDATE","ELDERATE","GIS_X","GIS_Y"
"31","Aitvaras","Pasilaiciu g. 10, Vilnius","+370 5 247 1732, 247 17 48(dir.)","190032931",,"rastine@aitvaras.vilnius.lm.lt",,"Valstybinis darzelis","1987-12-12","Pasilaiciu","579323","6066674"
"32","Atzaleles","Antakalnio g. 74, Vilnius","+370 5 234 1580","190019122",,"rastine@atzaleles.vilnius.lm.lt","+370 5 234 1469","Valstybinis darzelis","1989-11-14","Antakalnio","584600","6064495"
"33","Ausrele","Gerosios vilties g. 28, Vilnius","213 8721,","190020391",,"rastine@ausrele.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Vilkpedes","580536","6060144"
"34","Berzynelis","Berzyno g. 7A, Vilnius","233 5728, 233 5462,","190019275",,"rastine@berzynelis.vilnius.lm.lt",,"Valstybinis darzelis","1978-12-12","Naujamiescio","580943","6061242"
"35","Bildukas","Mindaugo g. 7/2, Vilnius","269 2935, 269 3872","190014876",,"rastine@bildukas.vilnius.lm.lt",,"Valstybinis darzelis","1989-09-01","Naujamiescio","582078","6061130"
"36","Birutes","Birutes g. 4, Vilnius","275 1665,","190016927",,"rastine@birutes.vilnius.lm.lt",,"Valstybinis darzelis","1974-12-13","zveryno","580647","6061804"
"37","Bitute","Paberzes g. 20, Vilnius","246 3303,","190031797",,"rastine@bitute.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-14","seskines","580866","6065254"
"39","Coliuke","A. Kojelaviciaus g. 298, Vilnius","267 2502 (dir.), 267 6478(pav.),","190015444",,"rastine@coliuke.vilnius.lm.lt",,"Valstybinis darzelis","1991-11-15","Naujosios Vilnios","592006","6063279"
"40","ciauskutis","Sausio 13-osios g. 6, Vilnius","244 1983, 2452052 dir. ciauskutis@gmail.com,","190027941",,"rastine@ciauskutis.vilnius.lm.lt",,"Valstybinis darzelis vaikam su negalia","1973-12-10","Visos seniunijos","578557","6062138"
"41","Daigelis","Dariaus ir Gireno g. 14, Vilnius","247 2141, daigelis@yahoo.co.uk,","191727213",,"rastine@daigelis.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-13","Naujininku","582247","6059212"
"42","Delfinukas","V.Maciuleviciaus g. 32, Vilnius","244 3936,","190027037",,"rastine@delfinukas.vilnius.lm.lt",,"Valstybinis darzelis","1973-11-16","Karoliniskiu","577517","6062088"
"43","Dobilelis","Savanoriu pr. 55, Vilnius","233 5304,","190014495",,"rastine@dobilelis.vilnius.lm.lt",,"Valstybinis darzelis vaikam su negalia","1990-09-17","Visos seniunijos","580102","6060140"
"44","Drevinukas","K. Donelaicio g. 12, Vilnius","233 0435, 233 2798,","190018935",,"rastine@drevinukas.vilnius.lm.lt",,"Valstybinis darzelis","2012-07-01","Naujamiescio","580761","6061130"
"45","Drugelis","Rinktines g. 28A, Vilnius","272 2710, 8 620 42 370,","190017071",,"rastine@drugelis.vilnius.lm.lt",,"Valstybinis darzelis","1968-06-01","snipiskiu","582953","6062908"
"46","Du gaideliai","Pelesos g. 15, Vilnius","269 3497, 8 620 44 234,","190014723",,"rastine@dugaideliai.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Naujininku","582659","6059555"
"47","Eglute","Miglos g. 3, Vilnius","279 0103 dir., 279 0404","190019994",,"rastine@eglute.vilnius.lm.lt",,"Valstybinis darzelis","2013-12-17","zveryno","580436","6063700"
"48","Ausrine","Laisves pr. 57, Vilnius","242 9474,","190031110",,"rastine@ausrine.vilnius.lm.lt",,"Valstybinis darzelis","2013-03-07","seskines","579432","6065169"
"49","Gandriukas","Fabijoniskiu g. 7, Vilnius","272 4621, 272 1516,","190033129",,"rastine@gandriukas.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Fabijoniskiu","580283","6065778"
"50","Geniuku kalve","Muitines g. 30, Vilnius","233 0469,","9001248",,"rastine@geniukukalve.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-02","Naujamiescio","581387","6060906"
"51","Gelvonelis","Gelvonu g. 1, Vilnius","246 4921, 246 3294,","290031830",,"rastine@gelvonelis.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-13","seskines","581076","6065015"
"52","Gervele","Dzuku g. 32, Vilnius","265 6542, 238 4919","190013589",,"rastine@gervele.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-06","Naujininku","582938","6059430"
"53","Giluzis","Vyduno g. 11A, Vilnius","230 7630,","190028324",,"rastine@giluzis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Pilaites","576329","6063915"
"54","Gintarelis","Didlaukio g. 35, Vilnius","277 7786,","190029383",,"rastine@gintarelis.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","Verkiu","581859","6066821"
"55","Giraite","Erfurto g. 42, Vilnius","244 0015,","190025214",,"rastine@giraite.vilnius.lm.lt",,"Valstybinis darzelis","1990-01-14","Lazdynu","577792","6060491"
"56","Gudrutis","Traku g. 12, Vilnius","262 9439, 262 8805,","190012715",,"rastine@gudrutis.vilnius.lm.lt",,"Valstybinis darzelis","1986-05-30","Senamiescio","582563","6061178"
"57","Jovarelis","S. Staneviciaus g. 21, Vilnius","247 9291, 247 4215,","190033467",,"rastine@jovarelis.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Fabijoniskiu","580839","6065899"
"58","Jurginelis","Justiniskiu g. 47, Vilnius","241 0212, 241 3829","190029045",,"rastine@jurginelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Virsuliskiu","578565","6063867"
"59","Karusele","Gedvydziu 25, Vilnius","248 3544, 8 612 65 126,","190033652",,"rastine@karusele.vilnius.lm.lt",,"Valstybinis darzelis","1991-11-15","Fabijoniskiu","579862","6067383"
"60","Kastonas","Antakalnio g. 108, Vilnius","234 6100,","9001984",,"rastine@kastonas.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Antakalnio","584743","6065166"
"61","Krivule","Lydos g. 5, Vilnius","261 3579, 262 6589","190015782",,"rastine@krivule.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Senamiescio","582618","6060984"
"62","Kodelciukas","Laisves pr. 59, Vilnius","241 3988,","190031459",,"rastine@kodelciukas.vilnius.lm.lt",,"Valstybinis darzelis","1987-12-12","seskines","579454","6065252"
"63","Klevelis","Stadiono g. 5, Vilnius","237 5064, 269 5382,","190015063",,"rastine@klevelis.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-13","Rasu","583359","6059967"
"64","Kurpaite","Birzelio 23-iosios g. 6A, Vilnius","233 3686,","190017114",,"rastine@kurpaite.vilnius.lm.lt",,"Valstybinis darzelis","1995-09-01","Naujamiescio","581350","6060317"
"65","Kulverstukas","Suvalku g. 6, Vilnius","233 0532, 233 3545,","190013436",,"rastine@kulverstukas.vilnius.lm.lt",,"Valstybinis darzelis","1995-09-01","Naujamiescio","581645","6061494"
"66","Lakstingala","Lakstingalu g. 10, Vilnius","277 7998(direktores), 277 7987,","190023010",,"rastine@lakstingala.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Antakalnio","585232","6066886"
"67","Laselis","Dzuku 21A, Vilnius","238 4301,","190017452",,"rastine@laselis.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-07","Naujininku","582544","6059341"
"68","Lazdynelis","siltnamiu g. 36, Vilnius","244 8046,","9001817",,"rastine@lazdynelis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Lazdynu","578475","6059833"
"69","Liepsnele","Kapsu g. 7, Vilnius","243 8864, 265 6327,","290018740",,"rastine@liepsnele.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Naujininku","582319","6059012"
"70","Linelis","A. Mickeviciaus g. 21, Vilnius","275 3267, 2752373 dir.","290019080",,"rastine@linelis.vilnius.lm.lt",,"Valstybinis darzelis","2013-12-17","zveryno","580686","6062243"
"71","Lokiuko giraite","Kovo 11-osios g. 54, Grigiskes, Vilnius","243 2603, 243 8473,","190648777",,"rastine@lokiukogiraite.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-12","Grigiskiu","571108","6059688"
"72","Markuciai","Pakrascio g. 15, Vilnius","260 0033,","190020587",,"rastine@markuciai.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-05","Rasu","585081","6060677"
"73","Mazylis","A.Vivulskio g. 8A, Vilnius","265 1047, 265 1263,","190019318",,"rastine@mazylis.vilnius.lm.lt",,"Valstybinis darzelis","1964-06-18","Naujamiescio","581880","6060972"
"74","Medynelis","A. P. Kavoliuko 5, Vilnius","244 8071, 245 3449,","9002737",,"rastine@medynelis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Karoliniskiu","578006","6062828"
"75","Molinukas","Keramiku g. 34, Vilnius","231 7228,","190018554",,"rastine@molinukas.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","Antakalnio","588317","6066566"
"76","Naminukas","Smelio g. 13, Vilnius","234 6118,","190016012",,"rastine@naminukas.vilnius.lm.lt",,"Valstybinis darzelis","2013-03-13","Antakalnio","584574","6064063"
"77","Neries","A. Gostauto g. 4, Vilnius","261 1507,","190014342",,"rastine@neriesdarzelis.lm.lt",,"Valstybinis darzelis","1996-01-14","Naujamiescio","582152","6062384"
"78","Nykstukas","Taikos g. 190, Vilnius","246 2118, 242 4900,","190015630",,"rastine@nykstukas.vilnius.lm.lt",,"Valstybinis darzelis","1986-10-26","Justiniskiu","578266","6064340"
"79","Ozas","Gelvonu g. 24, Vilnius","246 3323,","190031982",,"rastine@ozas.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","seskines","580945","6064973"
"80","Pabiruciai","Broliu g. 18, Vilnius","213 3812, 216 6075, 8 620 43 903","190021874",,"rastine@pabiruciai.lm.lt",,"Valstybinis darzelis","1968-06-01","Naujininku","581775","6059283"
"81","Pagrandukas","Mindaugo g. 15A, Vilnius","233 9226, 233 7545,","190013817",,"rastine@pagrandukas.vilnius.lm.lt",,"Valstybinis darzelis","1977-10-28","Naujamiescio","582121","6060779"
"82","Pakalnute","Architektu g. 44, Vilnius","245 4696, 244 1490,","190023697",,"rastine@pakalnute.vilnius.lm.lt",,"Valstybinis darzelis","2000-03-11","Lazdynu","578504","6060245"
"83","Paneriu","Juodsiliu g. 10, Vilnius","264 1241","190016546",,"rastine@paneriudarzelis.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Paneriu","576151","6055221"
"84","Papartis","ciobiskio g. 17, Vilnius","241 5218, 242 7536,","190030880",,"rastine@papartis.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","seskines","579915","6065285"
"85","Pasagele","Vokieciu g. 1, Vilnius","261 7254,","190015259",,"rastine@pasagele.vilnius.lm.lt",,"Valstybinis darzelis","2012-11-19","Senamiescio","582957","6060985"
"86","Pasaka","zirmunu g. 110, Vilnius","277 5839,","190021917",,"rastine@pasaka.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","zirmunu","583842","6066164"
"87","Paslaptis","Darzelio g. 7, Vilnius","267 2656,","190020249",,"rastine@paslaptis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Naujosios Vilnios","591336","6062338"
"88","Pasakaite","Taikos g. 30, Vilnius","242 2945, 242 2981,","190022780",,"rastine@pasakaite.vilnius.lm.lt",,"Valstybinis darzelis","1961-02-08","Justiniskiu","578966","6065571"
"89","Peleda","Musninku g. 10, Vilnius","241 8627, 241 8654,","190030542",,"rastine@peleda.vilnius.lm.lt",,"Valstybinis darzelis","1998-11-14","seskines","579870","6065012"
"90","Pelene","Justiniskiu g. 84, Vilnius","242 6295,","190022257",,"rastine@pelene.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Justiniskiu","578467","6065929"
"91","Pipiras","Krokuvos g. 6A, Vilnius","275 3256, 275 1310","190021493",,"rastine@pipiras.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","snipiskiu","582810","6062992"
"92","Prie pasaku parko","L. Asanaviciutes g. 7, Vilnius","245 8989(dir), 245 9494","190028858",,"rastine@priepasakuparko.vilnius.lm.lt",,"Valstybinis darzelis vaikam su negalia","1989-05-01","Visos seniunijos","577417","6061370"
"93","Pumpurelis","Kalvariju g. 186, Vilnius","277 5822,","190011951",,"rastine@pumpurelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","snipiskiu","582620","6064710"
"94","Puriena","Tuju g. 1, Vilnius","241 2221, 241 0201,","190029611",,"rastine@puriena.vilnius.lm.lt",,"Valstybinis darzelis","1967-12-10","Pasilaiciu","579348","6063741"
